Communes	IndiceRichesse	Chomage	Jeune	Vieux	Superficie	MetreCarre	Province	Ecoles
AiseauPresles	88	19.2	23.78	22.6	22.19	58	Hainaut	6
Amay	93	16.51	24.51	22.29	27.61	46	Liege	12
Andenne	89	15.79	25.23	21.81	86.17	35	Namur	24
Anderlues	85	20	22.96	24.09	17.02	45	Hainaut	8
Anhee	91	12.33	24.03	23.21	65.67	32	Namur	8
Ans	96	17.14	22.1	25.88	23.35	45	Liege	17
Anthisnes	110	8.81	24.1	21.89	37.08	30	Liege	5
Antoing	88	14.49	24.11	23.86	31.13	49	Hainaut	8
Arlon	118	11.14	24.34	19.65	118.64	74	Luxembourg	22
Assesse	107	7.99	27.59	18.52	78.16	41	Namur	7
Attert	124	6.35	30.98	15.46	70.94	54	Luxembourg	7
Aubange	98	13.11	24.74	21.45	45.6	33	Luxembourg	15
Awans	107	11.77	23.32	25.47	27.16	41	Liege	7
Aywaille	95	13.66	23.77	22.87	79.97	39	Liege	9
Baelen	99	8.99	26.31	19.23	85.73	44	Liege	2
Bassenge	98	12.51	23.3	22.12	38.17	52	Liege	7
Bastogne	88	11.16	27.02	17.73	172.03	35	Luxembourg	17
Beaumont	88	16.05	25.03	22.48	92.97	24	Hainaut	8
Beauraing	86	16.23	25.33	23.78	174.55	28	Namur	11
Beauvechain	121	8.54	26.26	21.03	38.58	92	BrabantWallon	5
Beloeil	91	14.85	23.66	21.86	61.55	43	Hainaut	10
Berloz	103	9.3	25.66	19.24	14.49	49	Liege	2
Bernissart	87	18.7	24.33	21.47	43.42	26	Hainaut	9
Bertogne	86	7.59	28.81	18.07	91.67	21	Luxembourg	7
Bertrix	89	11.94	25.35	21.61	137.7	28	Luxembourg	10
BeyneHeusay	91	17.04	24.86	22.64	7.32	31	Liege	8
Bievre	86	12.09	23.58	25.07	109.59	16	Namur	5
Binche	88	19.22	22.42	24.94	60.66	54	Hainaut	23
Blegny	106	10.31	23.98	22.86	26.07	63	Liege	10
Bouillon	84	14.13	21.5	28.02	149.09	21	Luxembourg	9
Boussu	79	25.55	24.5	22.48	20.01	34	Hainaut	18
BrainelAlleud	119	10.22	23.68	23.48	52.12	149	BrabantWallon	14
BraineleChateau	110	10.65	24.89	22.16	22.7	79	BrabantWallon	5
BraineleComte	101	13.81	25.49	21.14	84.68	83	Hainaut	11
Braives	104	10.48	25.44	19.55	44	32	Liege	5
Brunehaut	91	10.69	24.99	22.18	46.11	40	Hainaut	9
Burdinne	106	11.16	25.66	20.12	32.57	28	Liege	3
Celles	91	9.19	24.33	21.78	67.14	38	Hainaut	6
Cerfontaine	87	16.56	26.7	20.02	83.45	25	Namur	5
ChapellelezHerlaimont	85	20.72	24.08	22.37	18.1	49	Hainaut	10
Chastre	113	10.74	28.25	18.01	31.27	93	BrabantWallon	6
Chatelet	78	24.25	23.81	22.98	27.03	43	Hainaut	21
Chaudfontaine	124	11.6	20.92	29.88	25.52	58	Liege	9
ChaumontGistoux	126	9.67	27.07	20.75	48.09	92	BrabantWallon	5
Chievres	98	10.86	25.07	21.71	46.91	48	Hainaut	7
Chimay	80	18.92	25.14	23.91	197.1	26	Hainaut	18
Chiny	91	11.77	26.31	22.71	113.69	22	Luxembourg	10
Ciney	97	12.64	23.63	22.99	147.56	30	Namur	16
Clavier	104	10.38	26.14	20.62	79.12	25	Liege	8
Colfontaine	74	26.96	26.13	21.43	13.62	26	Hainaut	19
ComblainauPont	90	14.35	24.6	23.41	22.68	37	Liege	5
CominesWarneton	84	14.03	23.65	25.51	61.09	41	Hainaut	17
Courcelles	86	19.16	24.71	21.81	44.24	49	Hainaut	18
CourtSaintetienne	111	10.66	27.72	18.61	26.64	104	BrabantWallon	10
Couvin	82	22.33	23.4	24.92	206.93	20	Namur	18
Crisnee	109	8.19	23.84	21.41	16.83	56	Liege	2
Dalhem	110	7.63	23.73	19.78	36.06	57	Liege	6
Daverdisse	87	8.99	22.36	29.18	56.4	17	Luxembourg	3
Dinant	88	18.63	23.8	23.68	99.8	22	Namur	12
Dison	73	25.96	29.02	19.13	14.01	54	Liege	11
Dour	83	22.08	24.62	22.75	33.32	26	Hainaut	14
Durbuy	88	13.19	23.41	24.31	156.61	32	Luxembourg	10
ecaussinnes	95	12.96	25.85	21.82	34.77	33	Hainaut	7
eghezee	108	8.86	26.13	20.74	102.81	53	Namur	14
Ellezelles	99	10.39	22.99	25.01	44.69	24	Hainaut	4
Enghien	111	11.16	24.67	21.96	40.59	81	Hainaut	7
Engis	85	18.47	26.5	21.13	27.74	21	Liege	5
Erezee	90	13.02	22.57	24.26	78.44	22	Luxembourg	6
Erquelinnes	83	19.94	24.6	22.01	44.23	44	Hainaut	12
Esneux	118	12.21	21.35	25.7	34.05	44	Liege	7
Estaimpuis	89	13.16	24.92	21.96	31.75	43	Hainaut	6
Estinnes	93	14.9	24.99	20.9	72.73	51	Hainaut	9
etalle	111	7.74	30.36	15.4	78.1	49	Luxembourg	7
Faimes	114	8.22	25.29	20.06	28.48	34	Liege	3
Fauvillers	99	7.92	28.8	17.4	74.11	38	Luxembourg	3
Fernelmont	107	8.08	26.84	18.96	65.61	36	Namur	8
Ferrieres	98	9.54	24.57	22.58	56.9	32	Liege	6
FexheleHautClocher	108	10.68	22.88	20.7	19.25	66	Liege	2
Flemalle	91	17.83	22.87	25.15	36.68	37	Liege	24
Fleron	94	15.66	22.55	27.49	13.72	50	Liege	12
Fleurus	89	18.66	23.58	22.65	59.28	23	Hainaut	21
Flobecq	103	11.32	23.25	25.75	23	28	Hainaut	3
Floreffe	103	10.07	25.88	19.54	38.89	57	Namur	8
Florennes	92	16.29	23.57	22.41	133.55	33	Namur	9
Florenville	90	14.87	21.92	28.6	146.91	22	Luxembourg	8
Fontaineleveque	86	21.02	23.68	23.18	28.41	60	Hainaut	15
FosseslaVille	94	14.66	26.04	19.59	63.24	45	Namur	9
Frameries	86	20.6	23.84	22.89	25.95	24	Hainaut	17
FrasneslezAnvaing	96	10.23	23.59	23.36	112.44	31	Hainaut	14
Froidchapelle	80	18	23.51	23.42	86.03	24	Hainaut	4
Gedinne	86	13.26	23.59	27.84	151.56	18	Namur	8
Geer	108	8.23	27.6	16.7	23.62	46	Liege	4
Gembloux	109	11.22	24.09	20.46	95.86	82	Namur	20
Genappe	112	11.2	25.24	21.11	89.57	77	BrabantWallon	10
