"Doors" "Horsepower" "Price"
"two" 111 13495
"two" 111 16500
"two" 154 16500
"four" 102 13950
"four" 115 17450
"two" 110 15250
"four" 110 17710
"four" 110 18920
"four" 140 23875
"two" 101 16430
"four" 101 16925
"two" 121 20970
"four" 121 21105
"four" 121 24565
"four" 182 30760
"two" 182 41315
"four" 182 36880
"two" 48 5151
"two" 70 6295
"four" 70 6575
"two" 68 5572
"two" 68 6377
"two" 102 7957
"four" 68 6229
"four" 68 6692
"four" 68 7609
"four" 88 8921
"two" 145 12964
"two" 58 6479
"two" 76 6855
"two" 60 5399
"two" 76 6529
"two" 76 7129
"four" 76 7295
"four" 76 7295
"two" 86 7895
"two" 86 9095
"four" 86 8845
"four" 86 10295
"four" 101 12945
"two" 100 10345
"four" 78 6785
"two" 90 11048
"four" 176 32250
"four" 176 35550
"two" 262 36000
"two" 68 5195
"two" 68 6095
"two" 68 6795
"four" 68 6695
"four" 68 7395
"two" 101 10945
"two" 101 11845
"two" 101 13645
"two" 135 15645
"two" 84 8845
"four" 84 8495
"two" 84 10595
"four" 84 10245
"four" 84 11245
"four" 120 18280
"four" 72 18344
"four" 123 25552
"four" 123 28248
"two" 123 28176
"four" 123 31600
"four" 155 34184
"two" 155 35056
"four" 184 40960
"two" 184 45400
"two" 175 16503
"two" 68 5389
"two" 68 6189
"two" 68 6669
"two" 102 7689
"two" 116 9959
"two" 88 8499
"two" 145 12629
"two" 145 14869
"two" 145 14489
"four" 88 6989
"four" 88 8189
"four" 116 9279
"four" 116 9279
"two" 69 5499
"two" 55 7099
"two" 69 6649
"four" 69 6849
"four" 69 7349
"two" 69 7299
"two" 69 7799
"four" 69 7499
"four" 69 7999
"two" 69 8249
"four" 97 8949
"four" 97 9549
"four" 152 13499
"four" 152 14399
"four" 152 13499
"two" 160 17199
"two" 200 19699
"two" 160 18399
"four" 97 11900
"four" 95 13200
"four" 97 12440
"four" 95 13860
"four" 95 15580
"four" 95 16900
"four" 95 16695
"four" 95 17075
"four" 97 16630
"four" 95 17950
"four" 142 18150
"two" 68 5572
"two" 102 7957
"four" 68 6229
"four" 68 6692
"four" 68 7609
"four" 88 8921
"two" 145 12764
"two" 143 22018
"two" 207 32528
"two" 207 34028
"two" 207 37028
"two" 110 11850
"four" 110 12170
"two" 110 15040
"four" 110 15510
"two" 160 18150
"four" 160 18620
"two" 69 5118
"two" 73 7053
"two" 73 7603
"four" 82 7126
"four" 82 7775
"four" 94 9960
"four" 82 9233
"four" 111 11259
"four" 82 7463
"four" 94 10198
"four" 82 8013
"four" 111 11694
"two" 62 5348
"two" 62 6338
"four" 62 6488
"four" 62 6918
"four" 62 7898
"four" 62 8778
"four" 70 6938
"four" 70 7198
"four" 56 7898
"four" 56 7788
"four" 70 7738
"four" 70 8358
"four" 70 9258
"two" 70 8058
"two" 70 8238
"two" 112 9298
"two" 112 9538
"two" 116 8449
"two" 116 9639
"two" 116 9989
"two" 116 11199
"two" 116 11549
"two" 116 17669
"four" 92 8948
"four" 73 10698
"four" 92 9988
"four" 92 10898
"four" 92 11248
"two" 161 16558
"two" 161 15998
"four" 156 15690
"four" 156 15750
"two" 52 7775
"two" 85 7975
"four" 52 7995
"four" 85 8195
"four" 85 8495
"four" 68 9495
"four" 100 9995
"two" 90 11595
"two" 90 9980
"four" 110 13295
"four" 68 13845
"four" 88 12290
"four" 114 12940
"four" 114 13415
"four" 114 15985
"four" 114 16515
"four" 162 18420
"four" 162 18950
"four" 114 16845
"four" 160 19045
"four" 134 21485
"four" 106 22470
"four" 114 22625
