"glucides_g"	"proteines_g"	"matiere_grasse_g"	"marque"
9.7	3.7	1.9	"Yogusto"
10.5	5.3	6	"NatureCrémeux"
12.6	4.2	4.3	"LactoDelice"
7.4	5	2.2	"Yogusto"
11.2	4.1	3.6	"LactoDelice"
11.7	3.7	3.4	"LactoDelice"
12.6	2.9	3.9	"LactoDelice"
12.4	6.2	3.9	"LactoDelice"
12.2	2.8	4.3	"LactoDelice"
10.4	5	3.8	"LactoDelice"
7.2	4.5	5.4	"NatureCrémeux"
14.5	5	4.7	"LactoDelice"
11	3.5	3.3	"LactoDelice"
12.1	4.1	4	"LactoDelice"
7.7	3.2	1.7	"Yogusto"
8.6	4	2.5	"Yogusto"
5.8	5.5	1.8	"Yogusto"
10.5	2.1	6.4	"NatureCrémeux"
9.1	4.3	2.1	"Yogusto"
45	4	4.3	"LactoDelice"
13.1	3.5	4.5	"LactoDelice"
9.2	3.2	5.3	"NatureCrémeux"
8.6	4	1.8	"Yogusto"
8.5	3.5	2	"Yogusto"
10.2	4	6.5	"NatureCrémeux"
10.2	6.5	6.1	"NatureCrémeux"
12.3	2.2	4.1	"LactoDelice"
11	4.2	6.2	"NatureCrémeux"
12	1.7	4.2	"LactoDelice"
11.1	3.4	3.4	"LactoDelice"
10.8	2.6	3.6	"LactoDelice"
5.6	2.8	1.8	"Yogusto"
8.7	2.9	1.8	"Yogusto"
11.5	4.9	3.6	"LactoDelice"
9.2	4.3	3	"LactoDelice"
12.8	3.7	4.5	"LactoDelice"
11.8	6	4.3	"LactoDelice"
11.2	4.6	3.3	"LactoDelice"
8.5	3.8	2.5	"Yogusto"
10.5	4.6	5.9	"NatureCrémeux"
8.6	4.9	2.3	"Yogusto"
7.3	3.1	1.8	"Yogusto"
11.8	4.7	4.3	"LactoDelice"
7.3	3.2	1.7	"Yogusto"
12.3	4.2	4.3	"LactoDelice"
7.4	3.3	1.5	"Yogusto"
7.3	4.3	2.1	"Yogusto"
9.9	2.2	6.2	"NatureCrémeux"
13.3	2.6	4.4	"LactoDelice"
9.3	4.3	1.8	"Yogusto"
9.5	4.8	6	"NatureCrémeux"
13	5.4	4.1	"LactoDelice"
10.2	4.6	3	"Yogusto"
7.7	2.5	2.1	"Yogusto"
12.8	2.5	4.1	"LactoDelice"
10	3.2	5.5	"NatureCrémeux"
11.7	3.9	3.9	"LactoDelice"
13.4	3.5	4.7	"LactoDelice"
8.9	5	5.8	"NatureCrémeux"
13.5	4.7	4.6	"LactoDelice"
11.2	4	6.5	"NatureCrémeux"
10.8	3.1	6.7	"NatureCrémeux"
13.1	4.4	4.3	"LactoDelice"
12	2.7	6.6	"NatureCrémeux"
8.8	3.6	5	"NatureCrémeux"
10.9	3.4	5.9	"NatureCrémeux"
7.2	4.5	2	"Yogusto"
7.8	4.7	2	"Yogusto"
10.5	4.4	3.3	"LactoDelice"
10.8	3.4	2.9	"LactoDelice"
8.3	3	2.9	"Yogusto"
6.9	7.4	1.8	"Yogusto"
9.5	2.9	6.2	"NatureCrémeux"
9.8	5	5.7	"NatureCrémeux"
8.7	4.1	1.6	"Yogusto"
8.7	3.7	5.4	"NatureCrémeux"
9.9	4.6	5.9	"NatureCrémeux"
8.6	4.8	5.5	"NatureCrémeux"
11.4	2.8	3.8	"LactoDelice"
9.2	4.5	5.6	"NatureCrémeux"
11	5	2.3	"Yogusto"
7.8	4.2	1.5	"Yogusto"
9.5	2.2	6	"NatureCrémeux"
10.7	2.1	6.7	"NatureCrémeux"
13.3	4.3	4.1	"LactoDelice"
8	5.6	5.8	"NatureCrémeux"
7.4	3.8	2	"Yogusto"
7.2	2.9	2.1	"Yogusto"
11.7	4.4	4.1	"LactoDelice"
7.1	3.4	1.8	"Yogusto"
9.4	3.5	2	"Yogusto"
13.4	4.5	4.7	"LactoDelice"
8.9	3.7	5.7	"NatureCrémeux"
8.9	5	2.2	"Yogusto"
12.3	3.4	4.2	"LactoDelice"
10.9	4.4	3.7	"LactoDelice"
9.3	2.8	2.1	"Yogusto"
11.8	4.1	3.7	"LactoDelice"
12.6	4.3	4	"LactoDelice"
10.7	5.7	3.9	"LactoDelice"
12.2	3	4.2	"LactoDelice"
8.5	4.4	5.6	"NatureCrémeux"
12.9	3.1	4	"LactoDelice"
10.2	4.5	5.9	"NatureCrémeux"
9.1	3.7	6.1	"NatureCrémeux"
12.8	3.1	4.5	"LactoDelice"
13.1	4.3	4.1	"LactoDelice"
6.8	4.9	1	"Yogusto"
9.5	4.2	2.8	"Yogusto"
11.2	3.1	6	"NatureCrémeux"
11.3	3.2	3.5	"LactoDelice"
14.8	4.2	4.5	"LactoDelice"
8.9	2.9	2	"Yogusto"
9	6	5.6	"NatureCrémeux"
13.6	2.7	4.3	"LactoDelice"
13	3.8	3.9	"LactoDelice"
9.9	3.6	6.1	"NatureCrémeux"
